index,MemberId,Name,Party,MemberFrom,vote1,vote2,vote3,ons_code,signature_count_241584
0,8,Theresa May,Conservative,Maidenhead,1.0,1.0,1.0,E14000803,13559
1,15,David Lidington,Conservative,Aylesbury,1.0,1.0,1.0,E14000538,10129
2,18,Cheryl Gillan,Conservative,Chesham and Amersham,1.0,1.0,1.0,E14000631,13543
3,55,Desmond Swayne,Conservative,New Forest West,1.0,1.0,1.0,E14000828,7920
4,69,Oliver Heald,Conservative,North East Hertfordshire,1.0,1.0,1.0,E14000845,10974
5,76,Damian Green,Conservative,Ashford,1.0,1.0,1.0,E14000536,9102
6,87,Roger Gale,Conservative,North Thanet,1.0,1.0,1.0,E14000852,6094
7,103,Paul Beresford,Conservative,Mole Valley,1.0,1.0,1.0,E14000824,13380
8,105,Philip Hammond,Conservative,Runnymede and Weybridge,1.0,1.0,1.0,E14000907,11788
9,111,Nick Gibb,Conservative,Bognor Regis and Littlehampton,1.0,1.0,1.0,E14000576,6224
10,116,Nicholas Soames,Conservative,Mid Sussex,1.0,1.0,1.0,E14000817,13870
11,117,Peter Bottomley,Conservative,Worthing West,1.0,1.0,1.0,E14001055,9256
12,126,Keith Simpson,Conservative,Broadland,1.0,1.0,1.0,E14000603,7830
13,223,Liam Fox,Conservative,North Somerset,1.0,1.0,1.0,E14000850,13752
14,234,Gary Streeter,Conservative,South West Devon,1.0,1.0,1.0,E14000950,7407
15,247,Oliver Letwin,Conservative,West Dorset,1.0,1.0,1.0,E14001031,11763
16,249,Geoffrey Clifton-Brown,Conservative,The Cotswolds,1.0,1.0,1.0,E14000991,12321
17,312,Caroline Spelman,Conservative,Meriden,1.0,1.0,1.0,E14000812,7219
18,333,Patrick McLoughlin,Conservative,Derbyshire Dales,1.0,1.0,1.0,E14000664,9201
19,335,David Tredinnick,Conservative,Bosworth,1.0,1.0,1.0,E14000583,6449
20,343,Alan Duncan,Conservative,Rutland and Melton,1.0,1.0,1.0,E14000909,8829
21,345,Edward Leigh,Conservative,Gainsborough,1.0,1.0,1.0,E14000707,5402
22,366,Kenneth Clarke,Conservative,Rushcliffe,1.0,1.0,1.0,E14000908,13905
23,392,Kevin Barron,Labour,Rother Valley,1.0,1.0,1.0,E14000903,3936
24,478,Frank Field,Independent,Birkenhead,1.0,1.0,1.0,E14000559,6032
25,1201,Alistair Burt,Conservative,North East Bedfordshire,1.0,1.0,1.0,E14000841,10422
26,1387,John Mann,Labour,Bassetlaw,1.0,1.0,1.0,E14000546,4123
27,1405,Mark Field,Conservative,Cities of London and Westminster,1.0,1.0,1.0,E14000639,25155
28,1413,Chris Grayling,Conservative,Epsom and Ewell,1.0,1.0,1.0,E14000694,13346
29,1424,Mark Prisk,Conservative,Hertford and Stortford,1.0,1.0,1.0,E14000744,13263
30,1425,Jonathan Djanogly,Conservative,Huntingdon,1.0,1.0,1.0,E14000757,10599
31,1437,Lady Hermon,Independent,North Down,1.0,1.0,1.0,N06000013,7385
32,1441,Henry Bellingham,Conservative,North West Norfolk,1.0,1.0,1.0,E14000859,4985
33,1453,Andrew Selous,Conservative,South West Bedfordshire,1.0,1.0,1.0,E14000949,8062
34,1466,Andrew Murrison,Conservative,South West Wiltshire,1.0,1.0,1.0,E14000954,8459
35,1479,Nick Herbert,Conservative,Arundel and South Downs,1.0,1.0,1.0,E14000534,12824
36,1480,Maria Miller,Conservative,Basingstoke,1.0,1.0,1.0,E14000545,9702
37,1482,Graham Stuart,Conservative,Beverley and Holderness,1.0,1.0,1.0,E14000556,6144
38,1487,Tobias Ellwood,Conservative,Bournemouth East,1.0,1.0,1.0,E14000584,10348
39,1493,Charles Walker,Conservative,Broxbourne,1.0,1.0,1.0,E14000606,5595
40,1508,Geoffrey Cox,Conservative,Torridge and West Devon,1.0,1.0,1.0,E14001000,8404
41,1511,Ian Austin,Labour,Dudley North,1.0,1.0,1.0,E14000671,2165
42,1512,David Mundell,Conservative,"Dumfriesshire, Clydesdale and Tweeddale",1.0,1.0,1.0,S14000014,7907
43,1523,Anne Milton,Conservative,Guildford,1.0,1.0,1.0,E14000719,16596
44,1529,David Gauke,Conservative,South West Hertfordshire,1.0,1.0,1.0,E14000951,14572
45,1530,James Brokenshire,Conservative,Old Bexley and Sidcup,1.0,1.0,1.0,E14000869,6157
46,1539,Ben Wallace,Conservative,Wyre and Preston North,1.0,1.0,1.0,E14001057,6214
47,1542,Philip Dunne,Conservative,Ludlow,1.0,1.0,1.0,E14000799,6942
48,1544,Mark Lancaster,Conservative,Milton Keynes North,1.0,1.0,1.0,E14000821,11880
49,1545,David T. C. Davies,Conservative,Monmouth,1.0,1.0,1.0,W07000054,8944
