Party,Name,MP vote for Brexit,Constituency
Con,Nigel Adams,Leave,Selby and Ainsty
Con,Bim Afolami,Remain,Hitchin and Harpenden
Con,Stuart Andrew,Leave,Pudsey
Con,Edward Argar,Remain,Charnwood
Con,Victoria Atkins,Remain,Louth and Horncastle
Con,Kemi Badenoch,Leave,Saffron Walden
Con,Harriett Baldwin,Remain,West Worcestershire
Con,Stephen Barclay,Leave,North East Cambridgeshire
Con,Henry Bellingham,Leave,North West Norfolk
Con,Richard Benyon,Remain,Newbury
Con,Jake Berry,Remain,Rossendale and Darwen
Con,Nicholas Boles,Remain,Grantham and Stamford
Con,Andrew Bowie,Remain,West Aberdeenshire and Kincardine
Con,Karen Bradley,Remain,Staffordshire Moorlands
Con,Graham Brady,Leave,Altrincham and Sale West
Con,Steve Brine,Remain,Winchester
Con,James Brokenshire,Remain,Old Bexley and Sidcup
Con,Robert Buckland,Remain,South Swindon
Con,Alex Burghart,Remain,Brentwood and Ongar
Con,Alistair Burt,Remain,North East Bedfordshire
Con,Alun Cairns,Remain,Vale of Glamorgan
Con,James Cartlidge,Remain,South Suffolk
Con,Alex Chalk,Remain,Cheltenham
Con,Jo Churchill,Remain,Bury St Edmunds
Con,Greg Clark,Remain,Tunbridge Wells
Con,Kenneth Clarke,Remain,Rushcliffe
Con,James Cleverly,Leave,Braintree
Con,Therese Coffey,Remain,Suffolk Coastal
Con,Alberto Costa,Remain,South Leicestershire
Con,Geoffrey Cox,Leave,Torridge and West Devon
Con,Stephen Crabb,Remain,Preseli Pembrokeshire
Con,Glyn Davies,Leave,Montgomeryshire
Con,Mims Davies,Leave,Eastleigh
Con,Caroline Dinenage,Remain,Gosport
Con,Leo Docherty,Leave,Aldershot
Con,Michelle Donelan,Remain,Chippenham
Con,Oliver Dowden,Remain,Hertsmere
Con,Jackie Doyle-Price,Remain,Thurrock
Con,Alan Duncan,Remain,Rutland and Melton
Con,Tobias Ellwood,Remain,Bournemouth East
Con,George Eustice,Leave,Camborne and Redruth
Con,Mark Field,Remain,Cities of London and Westminster
Ind,Frank Field,Leave,Birkenhead
Lab,Caroline Flint,Remain,Don Valley
Con,Vicky Ford,Remain,Chelmsford
Con,Kevin Foster,Remain,Torbay
Con,Liam Fox,Leave,North Somerset
Con,Lucy Frazer,Remain,South East Cambridgeshire
Con,Mike Freer,Remain,Finchley and Golders Green
Con,David Gauke,Remain,South West Hertfordshire
Con,Nus Ghani,Leave,Wealden
Con,Nick Gibb,Remain,Bognor Regis and Littlehampton
Con,John Glen,Remain,Salisbury
Con,Michael Gove,Leave,Surrey Heath
Con,Luke Graham,Remain,Ochil and South Perthshire
Con,Helen Grant,Remain,Maidstone and The Weald
Con,Chris Grayling,Leave,Epsom and Ewell
Ind,Andrew Griffiths,Remain,Burton
Con,Sam Gyimah,Remain,East Surrey
Con,Luke Hall,Remain,Thornbury and Yate
Con,Philip Hammond,Remain,Runnymede and Weybridge
Con,Stephen Hammond,Remain,Wimbledon
Con,Matthew Hancock,Remain,West Suffolk
Con,Mark Harper,Remain,Forest of Dean
Con,Richard Harrington,Remain,Watford
Con,Rebecca Harris,Leave,Castle Point
Con,James Heappey,Remain,Wells
Con,Chris Heaton-Harris,Leave,Daventry
Con,Peter Heaton-Jones,Remain,North Devon
Con,Damian Hinds,Remain,East Hampshire
Con,Simon Hoare,Remain,North Dorset
Con,George Hollingbery,Remain,Meon Valley
Con,Kevin Hollinrake,Remain,Thirsk and Malton
Con,Nigel Huddleston,Remain,Mid Worcestershire
Con,Eddie Hughes,Leave,Walsall North
Con,Jeremy Hunt,Remain,South West Surrey
Con,Nick Hurd,Remain,"Ruislip, Northwood and Pinner"
Con,Alister Jack,Leave,Dumfries and Galloway
Con,Margot James,Remain,Stourbridge
Con,Sajid Javid,Remain,Bromsgrove
Con,Robert Jenrick,Remain,Newark
Con,Caroline Johnson,Leave,Sleaford and North Hykeham
Con,Gareth Johnson,Leave,Dartford
Con,Andrew Jones,Remain,Harrogate and Knaresborough
Con,Marcus Jones,Remain,Nuneaton
Con,Gillian Keegan,Remain,Chichester
Con,Seema Kennedy,Remain,South Ribble
Con,Julian Knight,Remain,Solihull
Con,Kwasi Kwarteng,Leave,Spelthorne
Con,Mark Lancaster,Remain,Milton Keynes North
Con,Andrea Leadsom,Leave,South Northamptonshire
Con,Oliver Letwin,Remain,West Dorset
Con,Brandon Lewis,Remain,Great Yarmouth
Con,David Lidington,Remain,Aylesbury
Ind,Stephen Lloyd,Remain,Eastbourne
Con,Jack Lopresti,Leave,Filton and Bradley Stoke
Con,Rachel Maclean,Remain,Redditch
Con,Alan Mak,Remain,Havant
Con,Kit Malthouse,Leave,North West Hampshire
Con,Theresa May,Remain,Maidenhead
Con,Paul Maynard,Leave,Blackpool North and Cleveleys
Con,Patrick McLoughlin,Remain,Derbyshire Dales
Con,Amanda Milling,Remain,Cannock Chase
Con,Anne Milton,Remain,Guildford
Con,Penny Mordaunt,Leave,Portsmouth North
Con,Nicky Morgan,Remain,Loughborough
Con,David Morris,Remain,Morecambe and Lunesdale
Con,James Morris,Remain,Halesowen and Rowley Regis
Con,Wendy Morton,Remain,Aldridge-Brownhills
Con,David Mundell,Remain,"Dumfriesshire, Clydesdale and Tweeddale"
Con,Sarah Newton,Remain,Truro and Falmouth
Con,Caroline Nokes,Remain,Romsey and Southampton North
Con,Jesse Norman,No declared,Hereford and South Herefordshire
Con,Neil O'Brien,Leave,Harborough
Con,Guy Opperman,Remain,Hexham
Con,John Penrose,Remain,Weston-super-Mare
Con,Claire Perry,Remain,Devizes
Con,Chris Philp,Remain,Croydon South
Con,Christopher Pincher,Leave,Tamworth
Con,Rebecca Pow,Remain,Taunton Deane
Con,Victoria Prentis,Remain,Banbury
Con,Tom Pursglove,Leave,Corby
Con,Will Quince,Leave,Colchester
Con,Amber Rudd,Remain,Hastings and Rye
Con,David Rutley,Remain,Macclesfield
Con,Antoinette Sandbach,Remain,Eddisbury
Con,Paul Scully,Leave,Sutton and Cheam
Con,Andrew Selous,Remain,South West Bedfordshire
Con,Alok Sharma,Remain,Reading West
Con,Alec Shelbrooke,Remain,Elmet and Rothwell
Con,Chris Skidmore,Remain,Kingswood
Con,Chloe Smith,Remain,Norwich North
Con,Julian Smith,Remain,Skipton and Ripon
Con,Nicholas Soames,Remain,Mid Sussex
Con,Mark Spencer,Remain,Sherwood
Con,Andrew Stephenson,Leave,Pendle
Con,Iain Stewart,Leave,Milton Keynes South
Con,Rory Stewart,Remain,Penrith and The Border
Con,Mel Stride,Remain,Central Devon
Con,Graham Stuart,Remain,Beverley and Holderness
Con,Rishi Sunak,Leave,Richmond (Yorks)
Con,Maggie Throup,Remain,Erewash
Con,Kelly Tolhurst,Remain,Rochester and Strood
Con,Justin Tomlinson,Leave,North Swindon
Con,Michael Tomlinson,Leave,Mid Dorset and North Poole
Con,Craig Tracey,Leave,North Warwickshire
Con,Elizabeth Truss,Remain,South West Norfolk
Con,Robin Walker,Remain,Worcester
Con,Ben Wallace,Remain,Wyre and Preston North
Con,David Warburton,Leave,Somerton and Frome
Con,Matt Warman,Remain,Boston and Skegness
Con,Helen Whately,Remain,Faversham and Mid Kent
Con,Heather Wheeler,Leave,South Derbyshire
Con,Craig Whittaker,Remain,Calder Valley
Con,Gavin Williamson,Remain,South Staffordshire
Con,Mike Wood,Leave,Dudley South
Con,Jeremy Wright,Remain,Kenilworth and Southam
Con,Nadhim Zahawi,Leave,Stratford-on-Avon
Con,Adam Afriyie,Leave,Windsor
Con,Peter Aldous,Leave,Waveney
Con,Lucy Allan,Leave,Telford
Con,Heidi Allen,Remain,South Cambridgeshire
Lab,Kevin Barron,Remain,Rother Valley
Con,Paul Beresford,Remain,Mole Valley
Con,Bob Blackman,Leave,Harrow East
Con,Peter Bottomley,Remain,Worthing West
Con,Jack Brereton,Remain,Stoke-on-Trent South
Con,Fiona Bruce,Leave,Congleton
Con,Colin Clark,Remain,Gordon
Con,Geoffrey Clifton-Brown,Leave,The Cotswolds
Con,Robert Courts,Leave,Witney
Con,Tracey Crouch,No declared,Chatham and Aylesford
Con,Christopher Davies,Leave,Brecon and Radnorshire
Con,David TC Davies,Leave,Monmouth
Con,Jonathan Djanogly,Remain,Huntingdon
Con,David Duguid,Remain,Banff and Buchan
Con,Philip Dunne,Remain,Ludlow
Con,Michael Ellis,Remain,Northampton North
Con,George Freeman,Remain,Mid Norfolk
Con,Roger Gale,Remain,North Thanet
Con,Mark Garnier,Remain,Wyre Forest
Con,Cheryl Gillan,Leave,Chesham and Amersham
Con,Robert Goodwill,Remain,Scarborough and Whitby
Con,Richard Graham,Remain,Gloucester
Con,Bill Grant,Remain,"Ayr, Carrick and Cumnock"
Con,Damian Green,Remain,Ashford
Con,Kirstene Hair,No declared,Angus
Con,Greg Hands,Remain,Chelsea and Fulham
Con,Simon Hart,Remain,Carmarthen West and South Pembrokeshire
Con,John Hayes,Leave,South Holland and The Deepings
Con,Oliver Heald,Remain,North East Hertfordshire
Con,Gordon Henderson,Leave,Sittingbourne and Sheppey
Con,Nick Herbert,Remain,Arundel and South Downs
Con,John Howell,Remain,Henley
Con,Daniel Kawczynski,Leave,Shrewsbury and Atcham
Con,Stephen Kerr,Leave,Stirling
Con,Greg Knight,Leave,East Yorkshire
Con,John Lamont,Remain,"Berwickshire, Roxburgh and Selkirk"
Con,Jeremy Lefroy,Remain,Stafford
Con,Ian Liddell-Grainger,Leave,Bridgwater and West Somerset
Con,Jonathan Lord,Leave,Woking
Con,Paul Masterton,Remain,East Renfrewshire
Con,Stephen McPartland,Leave,Stevenage
Con,Mark Menzies,Remain,Fylde
Con,Huw Merriman,Remain,Bexhill and Battle
Con,Stephen Metcalfe,Leave,South Basildon and East Thurrock
Con,Maria Miller,Remain,Basingstoke
Con,Andrew Mitchell,Remain,Sutton Coldfield
Con,Andrew Murrison,Leave,South West Wiltshire
Con,Bob Neill,Remain,Bromley and Chislehurst
Con,Matthew Offord,Leave,Hendon
Con,Mark Pawsey,Remain,Rugby
Con,Andrew Percy,Leave,Brigg and Goole
Con,Daniel Poulter,Remain,Central Suffolk and North Ipswich
Con,Mark Prisk,Remain,Hertford and Stortford
Con,Mark Pritchard,Remain,The Wrekin
Con,Jeremy Quin,Remain,Horsham
Con,Mary Robinson,Remain,Cheadle
Con,Douglas Ross,Remain,Moray
Con,Bob Seely,Leave,Isle of Wight
Con,Grant Shapps,Remain,Welwyn Hatfield
Con,Keith Simpson,Remain,Broadland
Con,Caroline Spelman,Remain,Meriden
Con,John Stevenson,Remain,Carlisle
Con,Gary Streeter,Remain,South West Devon
Con,Julian Sturdy,Leave,York Outer
Con,Robert Syms,Leave,Poole
Con,Derek Thomas,Leave,St Ives
Con,David Tredinnick,Remain,Bosworth
Con,Tom Tugendhat,Remain,Tonbridge and Malling
Con,Ed Vaizey,Remain,Wantage
Con,Charles Walker,Leave,Broxbourne
Con,Giles Watling,Remain,Clacton
Con,William Wragg,Leave,Hazel Grove
Lab,Diane Abbott,Remain,Hackney North and Stoke Newington
Lab,Debbie Abrahams,Remain,Oldham East and Saddleworth
Lab,Rushanara Ali,Remain,Bethnal Green and Bow
Lab,Rosena Allin-Khan,Remain,Tooting
Lab,Mike Amesbury,Remain,Weaver Vale
Con,David Amess,Leave,Southend West
Lab,Tonia Antoniazzi,Remain,Gower
Lab,Jon Ashworth,Remain,Leicester South
Lab,Ian Austin,Remain,Dudley North
Con,Richard Bacon,Leave,South Norfolk
Lab,Adrian Bailey,Remain,West Bromwich West
Con,Steve Baker,Leave,Wycombe
SNP,Hannah Bardell,Remain,Livingston
Con,John Baron,Leave,Basildon and Billericay
Con,Guto Bebb,Remain,Aberconwy
Lab,Margaret Beckett,Remain,Derby South
Lab,Hilary Benn,Remain,Leeds Central
Lab,Luciana Berger,Remain,"Liverpool, Wavertree"
Lab,Clive Betts,Remain,Sheffield South East
SNP,Mhairi Black,Remain,Paisley and Renfrewshire South
SNP,Ian Blackford,Remain,"Ross, Skye and Lochaber"
SNP,Kirsty Blackman,Remain,Aberdeen North
Lab,Roberta Blackman-Woods,Remain,City of Durham
Lab,Paul Blomfield,Remain,Sheffield Central
Con,Crispin Blunt,Leave,Reigate
Con,Peter Bone,Leave,Wellingborough
Lab,Tracy Brabin,Remain,Batley and Spen
Con,Ben Bradley,Remain,Mansfield
Lab,Ben Bradshaw,Remain,Exeter
LD,Tom Brake,Remain,Carshalton and Wallington
Con,Suella Braverman,Leave,Fareham
Lab,Kevin Brennan,Remain,Cardiff West
Con,Andrew Bridgen,Leave,North West Leicestershire
SNP,Deidre Brock,Remain,Edinburgh North and Leith
Lab,Nick Brown,Remain,Newcastle upon Tyne East
Lab,Lyn Brown,Remain,West Ham
SNP,Alan Brown,Remain,Kilmarnock and Loudoun
Lab,Chris Bryant,Remain,Rhondda
Lab,Karen Buck,Remain,Westminster North
Lab,Richard Burden,Remain,"Birmingham, Northfield"
Lab,Richard Burgon,Remain,Leeds East
Con,Conor Burns,Leave,Bournemouth West
Lab,Dawn Butler,Remain,Brent Central
Lab,Liam Byrne,Remain,"Birmingham, Hodge Hill"
LD,Vince Cable,Remain,Twickenham
Lab,Ruth Cadbury,Remain,Brentford and Isleworth
SNP,Lisa Cameron,Remain,"East Kilbride, Strathaven and Lesmahagow"
Lab,Ronnie Campbell,Leave,Blyth Valley
Lab,Alan Campbell,Remain,Tynemouth
DUP,Gregory Campbell,Leave,East Londonderry
Lab,Dan Carden,Remain,"Liverpool, Walton"
LD,Alistair Carmichael,Remain,Orkney and Shetland
Con,Bill Cash,Leave,Stone
Con,Maria Caulfield,Leave,Lewes
Lab,Sarah Champion,Remain,Rotherham
Lab,Jenny Chapman,Remain,Darlington
SNP,Douglas Chapman,Remain,Dunfermline and West Fife
Lab,Bambos Charalambous,Remain,"Enfield, Southgate"
SNP,Joanna Cherry,Remain,Edinburgh South West
Con,Rehman Chishti,Leave,Gillingham and Rainham
Con,Christopher Chope,Leave,Christchurch
Con,Simon Clarke,Leave,Middlesbrough South and East Cleveland
Lab,Ann Clwyd,Remain,Cynon Valley
Lab,Vernon Coaker,Remain,Gedling
Lab,Ann Coffey,Remain,Stockport
Con,Damian Collins,Remain,Folkestone and Hythe
Lab,Julie Cooper,Remain,Burnley
Lab,Yvette Cooper,Remain,"Normanton, Pontefract and Castleford"
Lab,Rosie Cooper,Remain,West Lancashire
Lab,Jeremy Corbyn,Remain,Islington North
SNP,Ronnie Cowan,Remain,Inverclyde
Lab,Neil Coyle,Remain,Bermondsey and Old Southwark
Lab,David Crausby,Remain,Bolton North East
SNP,Angela Crawley,Remain,Lanark and Hamilton East
Lab,Mary Creagh,Remain,Wakefield
Lab,Stella Creasy,Remain,Walthamstow
Lab,Jon Cruddas,Remain,Dagenham and Rainham
Lab,John Cryer,Leave,Leyton and Wanstead
Lab,Judith Cummins,Remain,Bradford South
Lab,Jim Cunningham,Remain,Coventry South
Lab,Alex Cunningham,Remain,Stockton North
Lab,Janet Daby,Remain,Lewisham East
Lab,Nic Dakin,Remain,Scunthorpe
LD,Ed Davey,Remain,Kingston and Surbiton
Lab,Wayne David,Remain,Caerphilly
Con,Philip Davies,Leave,Shipley
Lab,Geraint Davies,Remain,Swansea West
Con,David Davis,Leave,Haltemprice and Howden
SNP,Martyn Day,Remain,Linlithgow and East Falkirk
Lab,Marsha de Cordova,Remain,Battersea
Lab,Gloria De Piero,Remain,Ashfield
Lab,Thangam Debbonaire,Remain,Bristol West
Lab,Emma Dent Coad,Remain,Kensington
Lab,Tan Dhesi,Remain,Slough
SNP,Martin Docherty,Remain,West Dunbartonshire
Lab,Anneliese Dodds,Remain,Oxford East
DUP,Nigel Dodds,Leave,Belfast North
DUP,Jeffrey Donaldson,Leave,Lagan Valley
Con,Nadine Dorries,Leave,Mid Bedfordshire
Con,Steve Double,Leave,St Austell and Newquay
Lab,Stephen Doughty,Remain,Cardiff South and Penarth
Lab,Peter Dowd,Remain,Bootle
Con,Richard Drax,Leave,South Dorset
Lab,David Drew,Remain,Stroud
Lab,Jack Dromey,Remain,"Birmingham, Erdington"
Con,James Duddridge,Leave,Rochford and Southend East
Lab,Rosie Duffield,Remain,Canterbury
Con,Iain Duncan Smith,Leave,Chingford and Woodford Green
Lab,Maria Eagle,Remain,Garston and Halewood
Lab,Angela Eagle,Remain,Wallasey
PC,Jonathan Edwards,Remain,Carmarthen East and Dinefwr
Lab,Clive Efford,Remain,Eltham
Lab,Susan Elan Jones,Remain,Clwyd South
Lab,Julie Elliott,Remain,Sunderland Central
Lab,Louise Ellman,Remain,"Liverpool, Riverside"
Lab,Chris Elmore,Remain,Ogmore
Ind,Charlie Elphicke,Remain,Dover
Lab,Bill Esterson,Remain,Sefton Central
Con,Nigel Evans,Leave,Ribble Valley
Lab,Chris Evans,Remain,Islwyn
Con,David Evennett,Remain,Bexleyheath and Crayford
Con,Michael Fabricant,Leave,Lichfield
Con,Michael Fallon,Remain,Sevenoaks
Lab,Paul Farrelly,Remain,Newcastle-under-Lyme
LD,Tim Farron,Remain,Westmorland and Lonsdale
SNP,Marion Fellows,Remain,Motherwell and Wishaw
Lab,Jim Fitzpatrick,Remain,Poplar and Limehouse
Lab,Colleen Fletcher,Remain,Coventry North East
Lab,Paul Flynn,Remain,Newport West
Lab,Yvonne Fovargue,Remain,Makerfield
Lab,Vicky Foxcroft,Remain,"Lewisham, Deptford"
Con,Mark Francois,Leave,Rayleigh and Wickford
Lab,James Frith,Remain,Bury North
Lab,Gill Furniss,Remain,"Sheffield, Brightside and Hillsborough"
Con,Marcus Fysh,Leave,Yeovil
Lab,Hugh Gaffney,Remain,"Coatbridge, Chryston and Bellshill"
Lab,Mike Gapes,Remain,Ilford South
Lab,Barry Gardiner,Remain,Brent North
Lab,Ruth George,Remain,High Peak
SNP,Stephen Gethins,Remain,North East Fife
SNP,Patricia Gibson,Remain,North Ayrshire and Arran
Lab,Preet Gill,Remain,"Birmingham, Edgbaston"
DUP,Paul Girvan,Leave,South Antrim
Lab,Mary Glindon,Remain,North Tyneside
Lab,Roger Godsiff,Leave,"Birmingham, Hall Green"
Con,Zac Goldsmith,Leave,Richmond Park
Lab,Helen Goodman,Remain,Bishop Auckland
SNP,Patrick Grady,Remain,Glasgow North
SNP,Peter Grant,Remain,Glenrothes
Con,James Gray,Leave,North Wiltshire
SNP,Neil Gray,Remain,Airdrie and Shotts
Con,Chris Green,Leave,Bolton West
Lab,Kate Green,Remain,Stretford and Urmston
Con,Justine Greening,Remain,Putney
Lab,Lilian Greenwood,Remain,Nottingham South
Lab,Margaret Greenwood,Remain,Wirral West
Con,Dominic Grieve,Remain,Beaconsfield
Lab,Nia Griffith,Remain,Llanelli
Lab,John Grogan,Remain,Keighley
Lab,Andrew Gwynne,Remain,Denton and Reddish
Lab,Louise Haigh,Remain,"Sheffield, Heeley"
Con,Robert Halfon,Remain,Harlow
Lab,Fabian Hamilton,Remain,Leeds North East
Lab,David Hanson,Remain,Delyn
Lab,Emma Hardy,Remain,Kingston upon Hull West and Hessle
Lab,Harriet Harman,Remain,Camberwell and Peckham
Lab,Carolyn Harris,Remain,Swansea East
Con,Trudy Harrison,Leave,Copeland
Lab,Helen Hayes,Remain,Dulwich and West Norwood
Lab,Sue Hayman,Remain,Workington
Lab,John Healey,Remain,Wentworth and Dearne
Lab,Mark Hendrick,Remain,Preston
SNP,Drew Hendry,Remain,"Inverness, Nairn, Badenoch and Strathspey"
Lab,Stephen Hepburn,Remain,Jarrow
Ind,Sylvia Hermon,Remain,North Down
Lab,Mike Hill,Remain,Hartlepool
Lab,Meg Hillier,Remain,Hackney South and Shoreditch
LD,Wera Hobhouse,Remain,Bath
Lab,Margaret Hodge,Remain,Barking
Lab,Sharon Hodgson,Remain,Washington and Sunderland West
Lab,Kate Hoey,Leave,Vauxhall
Lab,Kate Hollern,Remain,Blackburn
Con,Philip Hollobone,Leave,Kettering
Con,Adam Holloway,Leave,Gravesham
Ind,Kelvin Hopkins,Leave,Luton North
SNP,Stewart Hosie,Remain,Dundee East
Lab,George Howarth,Remain,Knowsley
Lab,Rupa Huq,Remain,Ealing Central and Acton
Lab,Imran Hussain,Remain,Bradford East
LD,Christine Jardine,Remain,Edinburgh West
Lab,Dan Jarvis,Remain,Barnsley Central
Con,Ranil Jayawardena,Leave,North East Hampshire
Con,Bernard Jenkin,Leave,Harwich and North Essex
Con,Andrea Jenkyns,Leave,Morley and Outwood
Con,Boris Johnson,Leave,Uxbridge and South Ruislip
Con,Jo Johnson,Remain,Orpington
Lab,Diana Johnson,Remain,Kingston upon Hull North
Con,David Jones,Leave,Clwyd West
Lab,Darren Jones,Remain,Bristol North West
Lab,Sarah Jones,Remain,Croydon Central
Lab,Graham Jones,Remain,Hyndburn
Lab,Gerald Jones,Remain,Merthyr Tydfil and Rhymney
Lab,Kevan Jones,Remain,North Durham
Lab,Helen Jones,Remain,Warrington North
Lab,Mike Kane,Remain,Wythenshawe and Sale East
Lab,Barbara Keeley,Remain,Worsley and Eccles South
Lab,Liz Kendall,Remain,Leicester West
