,title,description,pubDate,link
0,No 10 says it will produce ‘emergency’ bill to show Rwanda safe country ‘in coming weeks’ – UK politics live,"<p>Downing Street says legislation will make clear ‘Rwanda is safe’ and will address court’s concerns after policy ruled unlawful </p><p>At his Institute for Government Q&amp;A <strong>Sir Mark Rowley</strong>, commissioner of the Metropolitan police, refused to say what he felt about Lee Anderson, the Conservative party deputy chair, declaring yesterday that ministers should just ignore the supreme court judgment saying the Rwanda police was unlawful. Asked to respond, Rowley just said:</p><p>Politicians hold me to account, I don’t hold them to account.</p><p>Starmer travelled north of the border just hours after a revolt within his party over a ceasefire in Gaza resulted in the resignation of eight of his frontbenchers.</p><p>The Labour leader highlighted what he described as the “failure” of the UK government to negotiate a trade deal with India, a key exporter for Scotch whisky.</p> <a href=""https://www.theguardian.com/politics/live/2023/nov/16/james-cleverly-rwanda-policy-rishi-sunak-uk-politics-live"">Continue reading...</a>","Thu, 16 Nov 2023 16:36:13 GMT",https://www.theguardian.com/politics/live/2023/nov/16/james-cleverly-rwanda-policy-rishi-sunak-uk-politics-live
1,Unemployed who ‘refuse to engage’ could lose benefits in Hunt crackdown,"<p>Chancellor to launch £2.5bn ‘back to work plan’ in autumn statement aimed at increasing workforce participation</p><p>Welfare claimants who “refuse” to engage with their jobcentre or take work offered to them will lose their benefits, under plans confirmed by the chancellor before next week’s autumn statement.</p><p>The crackdown, first floated by Jeremy Hunt in his Conservative party conference speech in October, is part of a wider government plan to tackle a dramatic decline in workforce participation since the Covid pandemic.</p> <a href=""https://www.theguardian.com/uk-news/2023/nov/16/unemployed-benefits-in-jeremy-hunt-autumn-statement"">Continue reading...</a>","Thu, 16 Nov 2023 16:06:34 GMT",https://www.theguardian.com/uk-news/2023/nov/16/unemployed-benefits-in-jeremy-hunt-autumn-statement
2,"UK ministers’ efforts to revive Rwanda policy likely to fail, lawyers say","<p>Government accused of ‘magical thinking’ and ignoring facts on the ground that led to supreme court judgment</p><p>Lawyers have said that UK ministers’ latest plans to get their high-profile Rwanda policy off the ground are unlikely to overcome the legal obstacles that <a href=""https://www.theguardian.com/uk-news/2023/nov/15/supreme-court-rejects-rishi-sunak-plan-to-deport-asylum-seekers-to-rwanda"">defeated them in the supreme court</a> on Wednesday.</p><p>After the five judges unanimously rejected the government’s plans to deport people seeking asylum in the UK to the east African country, <a href=""https://www.theguardian.com/uk-news/2023/nov/15/rishi-sunak-to-bring-in-emergency-law-after-courts-rwanda-ruling#:~:text=During%20a%20combative%20press%20conference,east%20African%20country%20is%20safe."">Rishi Sunak said</a> that he would ensure the flights could go ahead by legislating that Rwanda was safe.</p> <a href=""https://www.theguardian.com/uk-news/2023/nov/16/uk-ministers-efforts-to-revive-rwanda-policy-likely-to-fail-lawyers-say"">Continue reading...</a>","Thu, 16 Nov 2023 15:51:05 GMT",https://www.theguardian.com/uk-news/2023/nov/16/uk-ministers-efforts-to-revive-rwanda-policy-likely-to-fail-lawyers-say
3,‘The eyes tracking me is awful’: senior women’s complaints about MoD behaviour,"<p>Edited extracts of women’s recent testimonies about working at the Ministry of Defence</p><ul><li><a href=""https://www.theguardian.com/uk-news/2023/nov/16/sixty-women-at-mod-complain-of-widespread-toxic-and-hostile-behaviour"">60 women at MoD complain of widespread ‘toxic’ behaviour</a></li></ul><p>The following are edited extracts from <a href=""https://www.theguardian.com/uk-news/2023/nov/16/sixty-women-at-mod-complain-of-widespread-toxic-and-hostile-behaviour"">a letter that 60 senior civilian women at the UK’s Ministry of Defence sent to their permanent secretary</a>. The letter includes anonymised testimonies in which women have shared their recent experiences of working at the MoD.</p><p>The accounts allege a range of serious incidents and patterns of behaviour, which the women said were “only a sample” of “an extraordinary amount of concerning experiences” they had received.</p><p>I was told by a military officer that there were only two kinds of women in Defence, the bitches, who were effective, and the mumsy ones, who were completely useless, and I would need to decide which I was going to be if I planned to have a career in Defence.”</p><p>I avoid walking through the Pillared Hall [one of the main hallways of the MoD’s headquarters in Whitehall] alone. The groups of men staring is horrible. It’s the same on some of the 4th floor floorplates. They’ve even wolf whistled. The constant objectification and harassment is appalling. Behaviours that are completely unacceptable on public transport, for example, are accepted in pockets of Main Building.”</p><p>In a one-to-one setting in the office during the working day, a senior military officer came on to me. It made me feel shocked, upset, and reduced from what I thought I was seen as by my [exclusively male] seniors … to a woman seen through a lens of ‘attractiveness’ at work … It shattered my confidence and, I hate having to say this, I couldn’t help but question whether it was my fault: what is it about me that made this man think he could do this; am I too friendly at work; am I wearing the wrong clothes. It took me a long time not to feel anxious in his company.”</p><p>I was propositioned by a military officer late at night in a corridor on [an overseas MoD] base when I was leaving my room to go to the bathroom. I felt sick with fear and couldn’t sleep afterwards, not knowing whether he had access to keys and could get into my room.</p><p>The eyes tracking me as I walk through the Pillared Hall is awful. The fact that there are some men in the team [who are] so inappropriate, others warn us about being alone with them on work nights out. The fact that those men are some of the most senior in [my department] and keep getting promoted.</p><p>I am often the only woman in the room and on almost all occasions men comment on what I wear, my fragrance, and if I’m wearing a skirt or dress, they have often remarked, ‘you have legs!’. This started when I first joined the MoD as a junior official. On arriving or introducing myself, I was told that it was lovely I was there to ‘fragrance’ or ‘decorate’ the room and always in front of other meeting attendees. These behaviours always made me feel reduced compared to others in the room. It was intimidating, sometimes held me back from speaking in meetings, and undermined me and my role. It also made me doubt myself and my abilities. I spent a long period of time never wearing skirts or dresses, muting the colours I wore, and trying to be plain so as to blend, rather than stand out; all in the hope that people would take me seriously.</p><p>[When I joined the department], there was an equal mix of men and women on the programme. Most of the men are still at the MoD. I’m the only woman left. Every single woman who has left before me has put their decision to leave down to the culture here … Not a single woman [is] left from a large fast stream year group. It’s a damning indictment, as well as a colossal waste of MoD talent investment.</p> <a href=""https://www.theguardian.com/uk-news/2023/nov/16/the-eyes-tracking-me-is-awful-senior-womens-complaints-about-mod-behaviour"">Continue reading...</a>","Thu, 16 Nov 2023 15:37:45 GMT",https://www.theguardian.com/uk-news/2023/nov/16/the-eyes-tracking-me-is-awful-senior-womens-complaints-about-mod-behaviour
4,Sixty women at MoD complain of widespread ‘toxic’ and ‘hostile’ behaviour,"<p>Exclusive: Senior civil servants make serious allegations, including sexual assault, harassment and abuse, in leaked letter</p><ul><li><a href=""https://www.theguardian.com/politics/live/2023/nov/16/james-cleverly-rwanda-policy-rishi-sunak-uk-politics-live"">UK politics live – latest updates</a></li></ul><p>Sixty senior women at the UK’s Ministry of Defence have described a “hostile” and “toxic” culture at the department in a letter that alleges sexual assault, harassment and abuse by male colleagues.</p><p>The letter, seen by the Guardian, was sent last month by a large group of senior civil servants to the MoD’s permanent secretary alongside <a href=""https://www.theguardian.com/uk-news/2023/nov/16/the-eyes-tracking-me-is-awful-senior-womens-complaints-about-mod-behaviour"">anonymised testimonies in which women described their personal experiences</a>.</p><p>A woman who said she was groped at an MoD social function but was advised against complaining.</p><p>A woman on an overseas posting who said she was “touched repeatedly on the lower back and legs by a senior military officer” but the “perpetrator went unpunished”.</p><p>The claim that<strong> </strong>a group of military officers kept an “Excel spreadsheet that rated women” based on “their looks and what they thought they’d be like in bed”.</p><p>A woman who said that before an evening event, a “defence senior” asked a woman “whether anal sex was an appropriate topic for his speech”.</p><p>An account of how a military officer “propositioned” a woman “late at night in a corridor” on an overseas military base.</p> <a href=""https://www.theguardian.com/uk-news/2023/nov/16/sixty-women-at-mod-complain-of-widespread-toxic-and-hostile-behaviour"">Continue reading...</a>","Thu, 16 Nov 2023 14:44:50 GMT",https://www.theguardian.com/uk-news/2023/nov/16/sixty-women-at-mod-complain-of-widespread-toxic-and-hostile-behaviour
5,UK government to present full law to set aside supreme court Rwanda decision,"<p>Decision to table primary legislation in parliament puts in doubt Rishi Sunak’s aim for flights to begin leaving for Rwanda by spring</p><p>Rishi Sunak’s government will present a full law to parliament to set aside the <a href=""https://www.theguardian.com/uk-news/2023/nov/15/supreme-court-rejects-rishi-sunak-plan-to-deport-asylum-seekers-to-rwanda"">supreme court’s ban</a> on sending asylum seekers to Rwanda, setting up a likely battle with MPs and peers and putting in doubt the aim for flights to begin leaving by spring.</p><p>The law could be published within a fortnight, after next week’s autumn statement, and it will be primary legislation, meaning it will have to pass through all the normal stages of the Commons and Lords, Downing Street said.</p> <a href=""https://www.theguardian.com/uk-news/2023/nov/16/uk-government-to-present-full-law-to-set-aside-supreme-court-rwanda-decision"">Continue reading...</a>","Thu, 16 Nov 2023 14:08:01 GMT",https://www.theguardian.com/uk-news/2023/nov/16/uk-government-to-present-full-law-to-set-aside-supreme-court-rwanda-decision
6,How did your MP vote on the Gaza ceasefire motion?,"<p>MPs rejected an SNP amendment to the King’s Speech calling for a ceasefire in Gaza. In a major rebellion, 56 Labour MPs voted in favour of the amendment, defying Keir Starmer’s instructions to abstain from the vote</p> <a href=""https://www.theguardian.com/world/ng-interactive/2023/nov/16/how-did-your-mp-vote-on-the-gaza-ceasefire-motion"">Continue reading...</a>","Thu, 16 Nov 2023 11:52:25 GMT",https://www.theguardian.com/world/ng-interactive/2023/nov/16/how-did-your-mp-vote-on-the-gaza-ceasefire-motion
7,David Cameron in Ukraine on first mission as UK foreign secretary,"<p>Zelenskiy hails surprise visit after Cameron pledges to continue UK military support</p><ul><li><a href=""https://www.theguardian.com/world/live/2023/nov/16/russia-ukraine-war-live-ukrainian-pushback-along-3-8km-front-at-occupied-kherson"">Russia-Ukraine war – latest news updates</a></li></ul><p>David Cameron has travelled to Kyiv for his first trip as UK foreign secretary in an unannounced visit just days after his surprise appointment.</p><p>As he met Ukraine’s president, Volodymyr Zelenskiy, on Thursday, Cameron pledged that long-term British support for Ukraine would continue.</p> <a href=""https://www.theguardian.com/world/2023/nov/16/david-cameron-in-ukraine-on-first-mission-as-uk-foreign-secretary"">Continue reading...</a>","Thu, 16 Nov 2023 10:35:21 GMT",https://www.theguardian.com/world/2023/nov/16/david-cameron-in-ukraine-on-first-mission-as-uk-foreign-secretary
8,Cleverly ‘determined’ to get removal flight to Rwanda before general election,"<p>Home secretary says legally binding treaty will be drafted ‘within days’ despite policy being ruled unlawful</p><p>Ministers are “absolutely determined” to get a removal flight to Rwanda off before the next election, and will finish drafting a legally binding treaty with the country “within days”, the home secretary, James Cleverly, has said, after the policy was ruled unlawful.</p><p>Cleverly, who was <a href=""https://www.theguardian.com/politics/2023/nov/13/james-cleverly-appointed-home-secretary-in-cabinet-reshuffle"">made home secretary</a> in the reshuffle earlier this week, said the controversial policy was already having “a deterrent effect” on people smugglers.</p> <a href=""https://www.theguardian.com/politics/2023/nov/16/james-cleverly-determined-removal-flight-rwanda-before-general-election"">Continue reading...</a>","Thu, 16 Nov 2023 09:08:55 GMT",https://www.theguardian.com/politics/2023/nov/16/james-cleverly-determined-removal-flight-rwanda-before-general-election
9,UK income tax: how fiscal drag leads to people falling into higher rates,"<p>We show how people are pulled into paying more without the government increasing the tax rate</p><p>Successive Conservative chancellors from Rishi Sunak to Jeremy Hunt have frozen income tax thresholds for the past four years.</p><p>The policy results in what is known by economists as <a href=""https://www.theguardian.com/money/2023/mar/18/jeremy-hunt-income-tax-rise-basic-higher-rate-tax-cost"">“fiscal drag</a>” – when tax thresholds do not keep up with the rising cost of living, pulling more people into higher tax brackets.</p> <a href=""https://www.theguardian.com/business/ng-interactive/2023/oct/02/uk-income-tax-how-fiscal-drag-leads-to-people-falling-into-higher-rates"">Continue reading...</a>","Thu, 16 Nov 2023 09:05:24 GMT",https://www.theguardian.com/business/ng-interactive/2023/oct/02/uk-income-tax-how-fiscal-drag-leads-to-people-falling-into-higher-rates
