year,nation,peoptrust,lifesat,decision,marital,war,leftrigh,religious,divorce,suicide,proud,sex,age,education,ethnic
1990,France,careful,7,6,married,yes,3,relig,7,3,quite,male,55,16,not applicable
1990,Britain,careful,8,5,married,yes,5,not rel,never,never,very,female,60,14,not applicable
1990,Britain,careful,6,4,married,no,left,not rel,never,never,very,female,59,14,not applicable
1990,USA,careful,8,8,widow,yes,8,relig,5,never,very,male,53,21,white
1990,Sweden,careful,8,8,married,yes,4,relig,4,never,very,female,33,19,not applicable
1990,Sweden,trusted,satisf,grt deal,married,yes,3,not rel,never,never,quite,female,38,"dk, na",not applicable
1990,Britain,trusted,7,3,married,yes,7,atheist,8,never,quite,male,37,"dk, na",not applicable
1990,France,careful,4,4,divorced,yes,5,relig,6,never,quite,female,54,16,not applicable
1990,Britain,trusted,9,8,single,yes,4,not rel,5,never,very,male,30,16,not applicable
1990,USA,careful,satisf,grt deal,single,yes,5,relig,6,3,very,female,21,"dk, na",white
1990,USA,trusted,satisf,9,married,yes,9,relig,never,never,very,male,62,15,white
1990,France,trusted,3,5,married,yes,5,not rel,never,never,notatall,male,71,14,not applicable
1990,France,careful,8,8,married,yes,5,relig,5,never,quite,female,54,12,not applicable
1990,Britain,trusted,7,8,married,yes,3,relig,4,2,not very,male,31,17,not applicable
1990,Britain,trusted,3,5,married,no,4,not rel,7,6,quite,female,56,18,not applicable
1990,France,careful,7,9,single,yes,3,not rel,5,5,very,male,32,17,not applicable
1990,France,careful,dissatis,3,widow,no,4,atheist,5,never,quite,male,82,13,not applicable
1990,France,careful,satisf,6,married,yes,6,not rel,never,never,quite,male,65,14,not applicable
1990,Sweden,trusted,7,7,single,no,6,relig,5,5,quite,male,22,19,not applicable
1990,USA,trusted,9,9,married,no,5,relig,8,never,very,female,32,21,white
1990,Britain,trusted,5,3,married,yes,left,relig,never,never,not very,male,42,16,not applicable
1990,France,careful,8,7,as marr,yes,5,not rel,4,2,very,male,36,17,not applicable
1990,France,trusted,7,5,single,no,4,atheist,8,5,not very,female,25,21,not applicable
1990,Britain,careful,5,6,as marr,yes,left,not rel,5,3,quite,female,19,16,not applicable
1990,France,careful,5,8,single,no,7,atheist,5,2,quite,male,22,21,not applicable
1990,USA,trusted,8,8,divorced,yes,6,relig,7,5,very,female,38,21,white
1990,Britain,careful,7,3,married,yes,6,relig,5,5,very,female,29,16,not applicable
1990,USA,careful,5,6,single,yes,6,relig,6,7,very,male,41,19,black
1990,Britain,careful,7,7,married,yes,7,not rel,always,2,very,female,33,16,not applicable
1990,Britain,careful,5,6,widow,yes,5,not rel,2,6,very,female,59,14,not applicable
1990,Britain,careful,satisf,9,single,yes,6,relig,6,never,very,female,53,15,not applicable
1990,USA,careful,5,7,separat,yes,5,relig,5,4,very,female,52,17,white
1990,Sweden,trusted,satisf,9,married,yes,5,relig,never,never,very,female,44,"dk, na",not applicable
1990,USA,trusted,satisf,9,married,yes,7,relig,5,never,very,female,54,21,white
1990,USA,careful,satisf,5,married,no,right,relig,5,never,very,female,30,18,white
1990,USA,careful,satisf,grt deal,married,yes,5,relig,always,never,very,female,42,21,white
1990,USA,trusted,8,6,married,yes,6,relig,5,never,very,male,75,17,white
1990,Britain,trusted,7,7,widow,yes,3,relig,2,never,quite,male,81,12,not applicable
1990,USA,careful,9,grt deal,married,no,5,relig,7,never,quite,female,45,12,black
1990,Britain,careful,9,7,married,yes,2,relig,never,never,very,male,79,14,not applicable
1990,Britain,careful,dk,grt deal,married,yes,5,relig,5,never,not very,female,41,16,not applicable
1990,USA,trusted,satisf,9,married,yes,3,relig,never,never,very,male,50,18,white
1990,USA,careful,7,6,as marr,yes,5,relig,always,never,very,male,31,16,white
1990,Sweden,trusted,5,5,divorced,yes,6,not rel,always,2,quite,female,53,21,not applicable
1990,Britain,trusted,8,8,married,yes,right,relig,never,never,very,male,74,16,not applicable
1990,Britain,careful,9,8,married,yes,right,relig,never,never,very,female,71,12,not applicable
1990,France,careful,9,7,single,yes,6,relig,5,5,very,female,39,17,not applicable
1990,USA,trusted,9,9,single,no,3,relig,5,never,quite,female,22,21,white
1990,USA,careful,7,grt deal,married,yes,8,not rel,5,never,very,male,33,"dk, na",white
1990,USA,trusted,8,6,married,yes,3,not rel,5,2,very,male,28,20,white
1990,France,careful,5,grt deal,married,yes,right,not rel,5,5,not very,female,40,21,not applicable
1990,USA,trusted,9,5,married,no,5,relig,3,4,very,male,71,21,white
1990,USA,trusted,8,8,married,no,5,relig,6,never,very,female,45,21,white
1990,USA,trusted,satisf,none,widow,yes,5,relig,6,8,very,female,47,21,white
1990,Britain,trusted,8,9,married,yes,5,relig,5,never,very,female,33,16,not applicable
1990,France,careful,6,5,married,no,3,relig,8,8,quite,female,42,14,not applicable
1990,USA,trusted,8,grt deal,married,yes,6,relig,5,never,very,male,31,21,white
1990,Britain,trusted,8,grt deal,widow,yes,left,relig,5,never,very,female,75,14,not applicable
1990,Britain,trusted,6,7,married,no,3,not rel,6,never,quite,female,54,16,not applicable
1990,Sweden,careful,satisf,none,widow,yes,5,not rel,7,never,very,female,62,"dk, na",not applicable
1990,Britain,trusted,7,4,married,yes,9,not rel,7,7,very,female,29,18,not applicable
1990,Britain,trusted,dissatis,none,married,yes,4,relig,8,5,very,female,59,14,not applicable
1990,Britain,careful,satisf,grt deal,single,yes,5,relig,9,8,very,female,21,21,not applicable
1990,USA,careful,8,6,single,no,left,not rel,9,5,not very,male,49,21,black
1990,USA,careful,9,8,married,yes,8,relig,7,never,very,male,54,16,black
1990,Britain,trusted,satisf,8,married,yes,5,relig,5,7,very,female,51,17,not applicable
1990,USA,careful,5,7,married,no,9,relig,never,2,very,male,71,17,white
