id,name,gender,party,const
172,"Abbott, Ms Diane",F,Labour,Hackney North and Stoke Newington
4212,"Abrahams, Debbie",F,Labour,Oldham East and Saddleworth
4057,"Adams, Nigel",M,Conservative,Selby and Ainsty
4639,"Afolami, Bim",M,Conservative,Hitchin and Harpenden
1586,"Afriyie, Adam",M,Conservative,Windsor
4741,"Aiken, Nickie",F,Conservative,Cities of London and Westminster
4069,"Aldous, Peter",M,Conservative,Waveney
4138,"Ali, Rushanara",F,Labour,Bethnal Green and Bow
4747,"Ali, Tahir",M,Labour,"Birmingham, Hall Green"
4411,"Allan, Lucy",F,Conservative,Telford
4573,"Allin-Khan, Dr Rosena",F,Labour,Tooting
4667,"Amesbury, Mike",M,Labour,Weaver Vale
4788,"Anderson, Fleur",F,Labour,Putney
4743,"Anderson, Lee",M,Conservative,Ashfield
4742,"Anderson, Stuart",M,Conservative,Wolverhampton South West
4032,"Andrew, Stuart",M,Conservative,Pudsey
4512,"Ansell, Caroline",F,Conservative,Eastbourne
4623,"Antoniazzi, Tonia",F,Labour,Gower
4362,"Argar, Edward",M,Conservative,Charnwood
4244,"Ashworth, Jonathan",M,Labour (Co-op),Leicester South
4855,"Atherton, Sarah",F,Conservative,Wrexham
4399,"Atkins, Victoria",F,Conservative,Louth and Horncastle
4798,"Bacon, Gareth",M,Conservative,Orpington
1451,"Bacon, Mr Richard",M,Conservative,South Norfolk
4597,"Badenoch, Kemi",F,Conservative,Saffron Walden
4757,"Bailey, Shaun",M,Conservative,West Bromwich West
4847,"Baillie, Siobhan",F,Conservative,Stroud
4784,"Baker, Duncan",M,Conservative,North Norfolk
4064,"Baker, Mr Steve",M,Conservative,Wycombe
4107,"Baldwin, Harriett",F,Conservative,West Worcestershire
4095,"Barclay, Steve",M,Conservative,North East Cambridgeshire
4486,"Bardell, Hannah",F,Scottish National Party,Livingston
4828,"Barker, Paula",F,Labour,"Liverpool, Wavertree"
1390,"Baron, Mr John",M,Conservative,Basildon and Billericay
4800,"Baynes, Simon",M,Conservative,Clwyd South
328,"Beckett, Margaret",F,Labour,Derby South
4697,"Begley, Órfhlaith",F,Sinn Féin,West Tyrone
4790,"Begum, Apsana",F,Labour,Poplar and Limehouse
4837,"Bell, Aaron",M,Conservative,Newcastle-under-Lyme
413,"Benn, Hilary",M,Labour,Leeds Central
4793,"Benton, Scott",M,Conservative,Blackpool South
103,"Beresford, Sir Paul",M,Conservative,Mole Valley
4060,"Berry, Sir Jake",M,Conservative,Rossendale and Darwen
394,"Betts, Mr Clive",M,Labour,Sheffield South East
4818,"Bhatti, Saqib",M,Conservative,Meriden
4421,"Black, Mhairi",F,Scottish National Party,Paisley and Renfrewshire South
4390,"Blackford, Ian",M,Scottish National Party,"Ross, Skye and Lochaber"
4005,"Blackman, Bob",M,Conservative,Harrow East
4357,"Blackman, Kirsty",F,Scottish National Party,Aberdeen North
4864,"Blake, Olivia",F,Labour,"Sheffield, Hallam"
4058,"Blomfield, Paul",M,Labour,Sheffield Central
104,"Blunt, Crispin",M,Conservative,Reigate
1581,"Bone, Mr Peter",M,Conservative,Wellingborough
4748,"Bonnar, Steven",M,Scottish National Party,"Coatbridge, Chryston and Bellshill"
117,"Bottomley, Sir Peter",M,Conservative,Worthing West
4601,"Bowie, Andrew",M,Conservative,West Aberdeenshire and Kincardine
4663,"Bradley, Ben",M,Conservative,Mansfield
4110,"Bradley, Karen",F,Conservative,Staffordshire Moorlands
230,"Bradshaw, Mr Ben",M,Labour,Exeter
435,"Brady, Sir Graham",M,Conservative,Altrincham and Sale West
4373,"Brady, Mickey",M,Sinn Féin,Newry and Armagh
4475,"Braverman, Suella",F,Conservative,Fareham
1400,"Brennan, Kevin",M,Labour,Cardiff West
4643,"Brereton, Jack",M,Conservative,Stoke-on-Trent South
4133,"Bridgen, Andrew",M,Conservative,North West Leicestershire
4067,"Brine, Steve",M,Conservative,Winchester
4792,"Bristow, Paul",M,Conservative,Peterborough
4838,"Britcliffe, Sara",F,Conservative,Hyndburn
4417,"Brock, Deidre",F,Scottish National Party,Edinburgh North and Leith
4470,"Brown, Alan",M,Scottish National Party,Kilmarnock and Loudoun
1583,"Brown, Ms Lyn",F,Labour,West Ham
523,"Brown, Mr Nicholas",M,Independent,Newcastle upon Tyne East
4801,"Browne, Anthony",M,Conservative,South Cambridgeshire
3958,"Bruce, Fiona",F,Conservative,Congleton
1446,"Bryant, Chris",M,Labour,Rhondda
4821,"Buchan, Felicity",F,Conservative,Kensington
199,"Buck, Ms Karen",F,Labour,Westminster North
4106,"Buckland, Sir Robert",M,Conservative,South Swindon
4613,"Burghart, Alex",M,Conservative,Brentwood and Ongar
4493,"Burgon, Richard",M,Labour,Leeds East
3922,"Burns, Conor",M,Independent,Bournemouth West
1489,"Butler, Dawn",F,Labour,Brent Central
4745,"Butler, Rob",M,Conservative,Aylesbury
4831,"Byrne, Ian",M,Labour,"Liverpool, West Derby"
1171,"Byrne, Liam",M,Labour,"Birmingham, Hodge Hill"
4389,"Cadbury, Ruth",F,Labour,Brentford and Isleworth
4086,"Cairns, Alun",M,Conservative,Vale of Glamorgan
4770,"Callaghan, Amy",F,Scottish National Party,East Dunbartonshire
4412,"Cameron, Dr Lisa",F,Scottish National Party,"East Kilbride, Strathaven and Lesmahagow"
529,"Campbell, Sir Alan",M,Labour,Tynemouth
1409,"Campbell, Mr Gregory",M,Democratic Unionist Party,East Londonderry
4651,"Carden, Dan",M,Labour,"Liverpool, Walton"
1442,"Carmichael, Mr Alistair",M,Liberal Democrat,Orkney and Shetland
4791,"Carter, Andy",M,Conservative,Warrington South
4519,"Cartlidge, James",M,Conservative,South Suffolk
288,"Cash, Sir William",M,Conservative,Stone
4865,"Cates, Miriam",F,Conservative,Penistone and Stocksbridge
4492,"Caulfield, Maria",F,Conservative,Lewes
4481,"Chalk, Alex",M,Conservative,Cheltenham
