LeaveVote,gender,age,edlevel,hhincome,econPersonalRetro1,EuropeanIdentity,EnglishIdentity,BritishIdentity,PolMistrust,GovDisapproval,PopulismScale,ConVote,LabVote,LibVote,SNPPCVote,UKIP,euUKNotRich,euNotPreventWar,FreeTradeBad,euParlOverRide1,euUndermineIdentity1,lessEUmigrants,effectsEUTrade1,effectsEUImmigrationLower
0,1,47,4,1,3,7,2,2,7,5,15,0,1,0,0,0,3,2,1,2,2,7,2,3
0,1,64,3,3,3,5,4,4,7,5,15,0,0,0,0,0,2,2,1,2,2,5,3,3
0,2,70,4,4,2,4,7,7,6,4,15,1,0,0,0,0,3,3,1,4,2,5,2,3
1,1,39,4,4,3,1,7,7,5,5,15,0,1,0,0,0,3,3,3,3,3,7,3,3
1,1,66,0,1,1,1,7,7,7,5,25,0,0,0,0,0,5,5,3,5,5,10,3,4
0,2,50,4,7,3,7,7,7,7,3,15,0,0,0,0,0,3,3,2,3,3,5,3,3
0,1,58,3,1,2,3,6,6,4,3,15,0,1,0,0,0,4,3,3,4,4,10,3,4
0,1,35,4,2,3,3,4,7,4,2,15,1,0,0,0,0,3,2,1,5,3,7,2,3
0,1,35,2,4,2,5,1,4,6,4,19,0,1,1,0,0,2,2,1,2,2,5,2,4
0,2,60,5,4,3,6,1,7,2,3,15,0,1,0,0,0,3,1,1,2,3,5,2,3
0,1,57,4,6,2,7,1,7,6,5,20,0,0,0,0,0,2,1,1,2,1,3,4,4
1,1,57,2,4,3,3,7,7,7,5,15,0,0,0,0,1,5,5,2,5,5,10,3,5
1,2,48,3,6,3,4,6,6,3,3,17,1,0,0,0,0,4,4,1,4,4,5,4,4
0,1,45,3,2,2,2,7,7,4,4,15,0,1,0,0,0,3,3,3,3,3,8,3,3
0,2,78,5,2,3,5,6,5,4,5,15,0,1,0,0,0,2,2,1,3,1,2,3,4
1,1,40,3,3,3,1,7,3,7,5,15,0,0,0,0,1,5,5,1,5,5,5,3,5
0,2,48,4,4,3,5,6,6,3,4,17,0,1,0,0,0,2,3,1,3,3,5,2,4
0,2,68,4,4,3,5,6,7,2,1,15,1,0,0,0,0,2,2,1,3,4,6,2,3
0,1,37,3,8,3,5,6,6,6,5,15,0,0,0,0,0,3,5,1,2,2,5,3,4
0,2,37,4,4,3,4,3,5,5,5,15,0,1,0,0,0,2,1,1,1,1,7,3,3
1,1,66,2,2,1,1,7,1,7,5,18,0,0,0,0,1,5,4,2,5,5,10,4,5
0,2,35,4,5,3,5,7,4,6,5,15,0,1,0,0,0,2,3,1,2,2,5,2,3
1,1,22,3,8,2,2,1,6,3,5,15,0,0,0,0,1,5,4,1,5,5,10,1,5
1,2,43,2,4,2,1,1,1,7,3,17,0,0,0,1,0,3,3,3,3,3,5,3,3
0,2,23,4,7,5,6,5,5,3,2,15,1,0,0,0,0,2,4,1,5,4,7,2,3
1,1,54,1,5,1,2,7,7,6,5,20,0,1,0,0,0,3,3,2,4,3,10,3,4
